Transaction_ID;Date;Client_ID;Montant;Devise;Niveau_Risque;Est_PEP;Alertes;Niveau_Alerte;Score_Risque;Details_Alertes
TXN-10014;2024-01-24;CLT-016;9030.39;EUR;Élevé;Non;"CLIENT_RISQUE_ELEVE;PAYS_SANCTIONNE;";Critique;125;
TXN-10031;2024-01-23;CLT-002;31929.7;CHF;Élevé;Oui;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;CLIENT_PEP;";Critique;105;
TXN-10047;2024-01-23;CLT-002;22239.56;EUR;Élevé;Oui;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;CLIENT_PEP;";Critique;105;
TXN-10032;2024-01-27;CLT-009;9153.47;EUR;Faible;Non;"PAYS_SANCTIONNE;";Critique;100;
TXN-10001;2024-01-16;CLT-016;39225.12;CHF;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10003;2024-01-11;CLT-021;29225.25;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10005;2024-01-20;CLT-021;40374.29;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10006;2024-01-21;CLT-008;25319.91;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10009;2024-01-13;CLT-016;20644.49;USD;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10011;2024-01-24;CLT-021;21876.05;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10023;2024-01-01;CLT-005;12003.39;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10025;2024-01-12;CLT-021;33109.91;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10026;2024-01-31;CLT-005;30834.03;CHF;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10035;2024-01-21;CLT-008;40214.89;GBP;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10038;2024-01-16;CLT-021;16732.09;GBP;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10039;2024-01-25;CLT-008;25778.35;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10040;2024-01-30;CLT-008;44054.25;CHF;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10043;2024-01-11;CLT-021;27217.16;CHF;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10052;2024-01-29;CLT-005;26589.53;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10058;2024-01-02;CLT-021;12254.09;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;";Moyen;55;
TXN-10004;2024-01-16;CLT-030;28193.38;GBP;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10008;2024-01-02;CLT-029;10582.82;GBP;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10016;2024-01-26;CLT-004;25946.09;EUR;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10017;2024-01-24;CLT-025;21394.36;CHF;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10018;2024-01-09;CLT-025;35705.89;EUR;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10019;2024-01-15;CLT-003;10421.04;USD;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10020;2024-01-29;CLT-024;11049.14;USD;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10021;2024-01-22;CLT-001;77139.9;EUR;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10027;2024-01-19;CLT-029;19011.57;EUR;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10029;2024-01-18;CLT-010;21332.64;EUR;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10030;2024-01-07;CLT-018;24261.51;EUR;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10033;2024-01-08;CLT-014;19080.86;USD;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10036;2024-01-27;CLT-006;14501.67;EUR;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10037;2024-01-12;CLT-011;41814.33;EUR;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10042;2024-01-09;CLT-024;42735.18;EUR;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10044;2024-01-26;CLT-011;49421.86;EUR;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10045;2024-01-12;CLT-017;32773.59;EUR;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10046;2024-01-11;CLT-022;44383.19;CHF;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10048;2024-01-03;CLT-022;19188.96;CHF;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10050;2024-01-23;CLT-019;48899.43;EUR;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10051;2024-01-22;CLT-022;31449.58;EUR;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10053;2024-01-31;CLT-015;33848.55;USD;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10054;2024-01-13;CLT-022;47020.57;EUR;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10055;2024-01-23;CLT-003;20473.96;USD;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10056;2024-01-23;CLT-015;21014.42;GBP;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10057;2024-01-28;CLT-007;49048.29;CHF;Faible;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10060;2024-01-16;CLT-014;18165.74;USD;Moyen;Non;"SEUIL_REGLEMENTAIRE;";Moyen;30;
TXN-10007;2024-01-14;CLT-016;5682.51;EUR;Élevé;Non;"CLIENT_RISQUE_ELEVE;";Faible;25;
TXN-10015;2024-01-25;CLT-008;9258.9;CHF;Élevé;Non;"CLIENT_RISQUE_ELEVE;";Faible;25;
TXN-10059;2024-01-18;CLT-005;8807.41;EUR;Élevé;Non;"CLIENT_RISQUE_ELEVE;";Faible;25;
TXN-10013;2024-01-29;CLT-016;131215.03;EUR;Élevé;Non;"SEUIL_REGLEMENTAIRE;CLIENT_RISQUE_ELEVE;MONTANT_EXCEPTIONNEL;";Élevé;95;
TXN-10022;2024-01-16;CLT-027;249981.57;USD;Moyen;Non;"SEUIL_REGLEMENTAIRE;MONTANT_EXCEPTIONNEL;";Élevé;70;
TXN-10028;2024-01-07;CLT-009;147715.57;USD;Faible;Non;"SEUIL_REGLEMENTAIRE;MONTANT_EXCEPTIONNEL;";Élevé;70;
